"ZIP.CODE","Name","Geographic.Unit","Median.Household.Income.2020.Estimated.","BOROUGH.NAME","mean_sale","lat","lng","city","state_id","state_name","zcta","parent_zcta","population","density","county_fips","county_name","county_weights","county_names_all","county_fips_all","imprecise","military","timezone","coordsx","coordsy"
"11216","11216, Brooklyn, NY","Zip Code",61788.15695985,"Brooklyn",1167625.6875,40.68075,-73.94937,"Brooklyn","NY","New York",TRUE,NA,57786,23866.7,36047,"Kings","{""36047"": ""100""}","Kings","36047",FALSE,FALSE,"America/New_York",588785.314277547,4503848.91741355
"11217","11217, Brooklyn, NY","Zip Code",107959.9213727,"Brooklyn",2317357.14285714,40.68259,-73.97928,"Brooklyn","NY","New York",TRUE,NA,41813,21526,36047,"Kings","{""36047"": ""100""}","Kings","36047",FALSE,FALSE,"America/New_York",586255.304235669,4504023.38286802
"11218","11218, Brooklyn, NY","Zip Code",69886.839749204,"Brooklyn",1343075.93877551,40.64346,-73.97611,"Brooklyn","NY","New York",TRUE,NA,72413,19572.7,36047,"Kings","{""36047"": ""100""}","Kings","36047",FALSE,FALSE,"America/New_York",586573.77216011,4499682.84620344
"11219","11219, Brooklyn, NY","Zip Code",39292.582921618,"Brooklyn",1064947.36842105,40.63267,-73.99669,"Brooklyn","NY","New York",TRUE,NA,89371,23282.7,36047,"Kings","{""36047"": ""100""}","Kings","36047",FALSE,FALSE,"America/New_York",584847.288899379,4498465.04752154
"11220","11220, Brooklyn, NY","Zip Code",46590.259637584,"Brooklyn",1516231.53846154,40.64115,-74.01651,"Brooklyn","NY","New York",TRUE,NA,93170,20614.8,36047,"Kings","{""36047"": ""100""}","Kings","36047",FALSE,FALSE,"America/New_York",583160.613893864,4499387.4430557
"11221","11221, Brooklyn, NY","Zip Code",50626.430964686,"Brooklyn",659740.833333333,40.69136,-73.92787,"Brooklyn","NY","New York",TRUE,NA,83322,23256.1,36047,"Kings","{""36047"": ""100""}","Kings","36047",FALSE,FALSE,"America/New_York",590587.872033645,4505048.63728296
"11222","11222, Brooklyn, NY","Zip Code",85252.472534094,"Brooklyn",1498888.88888889,40.72858,-73.94774,"Brooklyn","NY","New York",TRUE,NA,36872,9276.7,36047,"Kings","{""36047"": ""100""}","Kings","36047",FALSE,FALSE,"America/New_York",588859.463208675,4509160.01204287
"11223","11223, Brooklyn, NY","Zip Code",50097.837340615,"Brooklyn",1020243.1369863,40.59715,-73.97359,"Brooklyn","NY","New York",TRUE,NA,81388,15153.9,36047,"Kings","{""36047"": ""100""}","Kings","36047",FALSE,FALSE,"America/New_York",586846.81259563,4494544.69240682
"11224","11224, Brooklyn, NY","Zip Code",33980.310759107,"Brooklyn",546080.64516129,40.57665,-73.98873,"Brooklyn","NY","New York",TRUE,NA,45795,11148.6,36047,"Kings","{""36047"": ""100""}","Kings","36047",FALSE,FALSE,"America/New_York",585591.896521473,4492254.28102939
"11225","11225, Brooklyn, NY","Zip Code",56379.534123503,"Brooklyn",1127627.17142857,40.66304,-73.95431,"Brooklyn","NY","New York",TRUE,NA,56859,24837.3,36047,"Kings","{""36047"": ""100""}","Kings","36047",FALSE,FALSE,"America/New_York",588391.230084606,4501878.02282484
"11226","11226, Brooklyn, NY","Zip Code",52080.897498577,"Brooklyn",1222400.38095238,40.64639,-73.9568,"Brooklyn","NY","New York",TRUE,NA,99558,29812.3,36047,"Kings","{""36047"": ""100""}","Kings","36047",FALSE,FALSE,"America/New_York",588202.675422227,4500027.2784943
"11228","11228, Brooklyn, NY","Zip Code",66978.303264454,"Brooklyn",973838.692307692,40.61679,-74.013,"Brooklyn","NY","New York",TRUE,NA,44348,11628.6,36047,"Kings","{""36047"": ""100""}","Kings","36047",FALSE,FALSE,"America/New_York",583487.747182202,4496686.68903417
"11229","11229, Brooklyn, NY","Zip Code",61776.982973871,"Brooklyn",732430.232142857,40.60083,-73.94401,"Brooklyn","NY","New York",TRUE,NA,83119,14862.2,36047,"Kings","{""36047"": ""100""}","Kings","36047",FALSE,FALSE,"America/New_York",589344.784962572,4494982.79040445
"11230","11230, Brooklyn, NY","Zip Code",49246.974778973,"Brooklyn",1246539.49038462,40.62214,-73.96506,"Brooklyn","NY","New York",TRUE,NA,86139,18069,36047,"Kings","{""36047"": ""100""}","Kings","36047",FALSE,FALSE,"America/New_York",587535.948366056,4497327.15093568
"11231","11231, Brooklyn, NY","Zip Code",99580.696976599,"Brooklyn",2116158.6875,40.67767,-74.00465,"Brooklyn","NY","New York",TRUE,NA,37874,10286.4,36047,"Kings","{""36047"": ""100""}","Kings","36047",FALSE,FALSE,"America/New_York",584117.580108044,4503452.64370048
"11232","11232, Brooklyn, NY","Zip Code",57450.624200534,"Brooklyn",1215000,40.65632,-74.00563,"Brooklyn","NY","New York",TRUE,NA,26430,8567.8,36047,"Kings","{""36047"": ""100""}","Kings","36047",FALSE,FALSE,"America/New_York",584061.564632157,4501081.73642742
"11233","11233, Brooklyn, NY","Zip Code",39602.761137147,"Brooklyn",565250,40.6783,-73.91995,"Brooklyn","NY","New York",TRUE,NA,79439,22739.5,36047,"Kings","{""36047"": ""100""}","Kings","36047",FALSE,FALSE,"America/New_York",591274.888862101,4503607.08904685
"11234","11234, Brooklyn, NY","Zip Code",83373.01742793,"Brooklyn",666900.014084507,40.60602,-73.91071,"Brooklyn","NY","New York",TRUE,NA,93534,4873.7,36047,"Kings","{""36047"": ""100""}","Kings","36047",FALSE,FALSE,"America/New_York",592155.140809096,4495593.23668186
"11235","11235, Brooklyn, NY","Zip Code",53018.690407301,"Brooklyn",820464.492063492,40.58402,-73.9488,"Brooklyn","NY","New York",TRUE,NA,78775,13552.3,36047,"Kings","{""36047"": ""100""}","Kings","36047",FALSE,FALSE,"America/New_York",588961.785839627,4493111.953822
"11236","11236, Brooklyn, NY","Zip Code",67112.642243147,"Brooklyn",470111.679104478,40.63958,-73.90107,"Brooklyn","NY","New York",TRUE,NA,100844,10818.5,36047,"Kings","{""36047"": ""100""}","Kings","36047",FALSE,FALSE,"America/New_York",592924.184584966,4499328.71409321
"11237","11237, Brooklyn, NY","Zip Code",52999.048279425,"Brooklyn",1,40.70429,-73.92107,"Brooklyn","NY","New York",TRUE,NA,48876,19182.7,36047,"Kings","{""36047"": ""100""}","Kings","36047",FALSE,FALSE,"America/New_York",591144.810801714,4506490.98591696
"11238","11238, Brooklyn, NY","Zip Code",85502.134535324,"Brooklyn",2020625,40.67913,-73.96384,"Brooklyn","NY","New York",TRUE,NA,55210,19264.1,36047,"Kings","{""36047"": ""100""}","Kings","36047",FALSE,FALSE,"America/New_York",587564.601395778,4503654.57030195
"11239","11239, Brooklyn, NY","Zip Code",25658.4,"Brooklyn",533178.210526316,40.64844,-73.87969,"Brooklyn","NY","New York",TRUE,NA,12772,7988.9,36047,"Kings","{""36047"": ""100""}","Kings","36047",FALSE,FALSE,"America/New_York",594719.558807565,4500335.0327783
"11354","11354, Flushing, NY","Zip Code",42320.608178989,"Queens",924959.357142857,40.76863,-73.82739,"Flushing","NY","New York",TRUE,NA,53684,9516,36081,"Queens","{""36081"": ""100""}","Queens","36081",FALSE,FALSE,"America/New_York",598963.377653377,4513734.65504171
"11355","11355, Flushing, NY","Zip Code",38155.10101953,"Queens",913605.829268293,40.75148,-73.82092,"Flushing","NY","New York",TRUE,NA,80987,18020.1,36081,"Queens","{""36081"": ""100""}","Queens","36081",FALSE,FALSE,"America/New_York",599535.012617157,4511838.18031902
"11356","11356, College Point, NY","Zip Code",60397.477037051,"Queens",646256.12,40.78497,-73.84165,"College Point","NY","New York",TRUE,NA,23494,5752.6,36081,"Queens","{""36081"": ""100""}","Queens","36081",FALSE,FALSE,"America/New_York",597735.914901279,4515532.54630908
"11357","11357, Whitestone, NY","Zip Code",84172.824908363,"Queens",990790.981042654,40.78636,-73.81097,"Whitestone","NY","New York",TRUE,NA,39407,5413.2,36081,"Queens","{""36081"": ""100""}","Queens","36081",FALSE,FALSE,"America/New_York",600322.505937037,4515721.49296995
"11358","11358, Flushing, NY","Zip Code",65506.647435759,"Queens",881265.729032258,40.76044,-73.79632,"Flushing","NY","New York",TRUE,NA,36515,7234.8,36081,"Queens","{""36081"": ""100""}","Queens","36081",FALSE,FALSE,"America/New_York",601598.085593374,4512861.00850131
"11359","11359, Bayside, NY","Zip Code",NA,"Queens",NA,40.79142,-73.77665,"Bayside","NY","New York",TRUE,NA,0,0,36081,"Queens","{""36081"": ""0""}","Queens","36081",FALSE,FALSE,"America/New_York",603210.42949581,4516323.02779947
"11360","11360, Bayside, NY","Zip Code",86789.399309043,"Queens",1016878.01923077,40.78039,-73.78148,"Bayside","NY","New York",TRUE,NA,18954,5251.8,36081,"Queens","{""36081"": ""100""}","Queens","36081",FALSE,FALSE,"America/New_York",602819.940434734,4515092.9236762
"11361","11361, Bayside, NY","Zip Code",85986.559696095,"Queens",885698.820512821,40.76383,-73.77237,"Bayside","NY","New York",TRUE,NA,27201,5948.6,36081,"Queens","{""36081"": ""100""}","Queens","36081",FALSE,FALSE,"America/New_York",603614.395140687,4513265.3364073
"11362","11362, Little Neck, NY","Zip Code",87523.426170234,"Queens",974584.247058823,40.7565,-73.73686,"Little Neck","NY","New York",TRUE,NA,18343,2798.6,36081,"Queens","{""36081"": ""100""}","Queens","36081",FALSE,FALSE,"America/New_York",606623.29473839,4512494.18526271
"11363","11363, Little Neck, NY","Zip Code",103313.50310448,"Queens",963024.946428571,40.77268,-73.74671,"Little Neck","NY","New York",TRUE,NA,7096,3185.1,36081,"Queens","{""36081"": ""100""}","Queens","36081",FALSE,FALSE,"America/New_York",605766.165825858,4514278.38709797
"11364","11364, Oakland Gardens, NY","Zip Code",75242.919409592,"Queens",859317.949275362,40.74532,-73.76068,"Oakland Gardens","NY","New York",TRUE,NA,36215,5666.4,36081,"Queens","{""36081"": ""100""}","Queens","36081",FALSE,FALSE,"America/New_York",604630.09632465,4511224.43817412
"11365","11365, Fresh Meadows, NY","Zip Code",66644.052448287,"Queens",847631.260869565,40.73976,-73.79486,"Fresh Meadows","NY","New York",TRUE,NA,44738,6912.8,36081,"Queens","{""36081"": ""100""}","Queens","36081",FALSE,FALSE,"America/New_York",601752.845284911,4510567.04757962
"11366","11366, Fresh Meadows, NY","Zip Code",77391.2,"Queens",805410.176470588,40.72817,-73.78491,"Fresh Meadows","NY","New York",TRUE,NA,14360,5072.6,36081,"Queens","{""36081"": ""100""}","Queens","36081",FALSE,FALSE,"America/New_York",602610.773821574,4509292.04537908
"11367","11367, Flushing, NY","Zip Code",59402.29598316,"Queens",781422.232323232,40.73041,-73.82623,"Flushing","NY","New York",TRUE,NA,41207,6754.8,36081,"Queens","{""36081"": ""100""}","Queens","36081",FALSE,FALSE,"America/New_York",599118.022353318,4509493.23304302
"11368","11368, Corona, NY","Zip Code",50394.748126876,"Queens",722750,40.74959,-73.8526,"Corona","NY","New York",TRUE,NA,112088,16458.1,36081,"Queens","{""36081"": ""100""}","Queens","36081",FALSE,FALSE,"America/New_York",596863.354174925,4511592.92653133
"11369","11369, East Elmhurst, NY","Zip Code",53578.8,"Queens",653418.144329897,40.76339,-73.87238,"East Elmhurst","NY","New York",TRUE,NA,31481,11147.9,36081,"Queens","{""36081"": ""100""}","Queens","36081",FALSE,FALSE,"America/New_York",595173.811391172,4513103.19388384
"11370","11370, East Elmhurst, NY","Zip Code",64194.644930111,"Queens",751368.684210526,40.77568,-73.88738,"East Elmhurst","NY","New York",TRUE,NA,31580,8181.6,36081,"Queens","{""36081"": ""72.05"", ""36005"": ""27.95""}","Queens|Bronx","36081|36005",FALSE,FALSE,"America/New_York",593890.449159476,4514451.32113761
"11372","11372, Jackson Heights, NY","Zip Code",57516.789477343,"Queens",977782.263157895,40.75166,-73.88361,"Jackson Heights","NY","New York",TRUE,NA,62854,32758.7,36081,"Queens","{""36081"": ""100""}","Queens","36081",FALSE,FALSE,"America/New_York",594242.520750518,4511788.94943575
"11373","11373, Elmhurst, NY","Zip Code",50510.847236223,"Queens",811808.098039216,40.73886,-73.87858,"Elmhurst","NY","New York",TRUE,NA,94437,23954.7,36081,"Queens","{""36081"": ""100""}","Queens","36081",FALSE,FALSE,"America/New_York",594685.301560294,4510373.46390686
"11374","11374, Rego Park, NY","Zip Code",62720.643499305,"Queens",806311.777777778,40.72652,-73.8615,"Rego Park","NY","New York",TRUE,NA,43507,17812.4,36081,"Queens","{""36081"": ""100""}","Queens","36081",FALSE,FALSE,"America/New_York",596145.21616403,4509022.19346489
"11375","11375, Forest Hills, NY","Zip Code",80044.564313417,"Queens",1289240.4453125,40.72092,-73.84611,"Forest Hills","NY","New York",TRUE,NA,73034,14175.6,36081,"Queens","{""36081"": ""100""}","Queens","36081",FALSE,FALSE,"America/New_York",597453.081882955,4508417.51733506
"11377","11377, Woodside, NY","Zip Code",57298.030694047,"Queens",764567.5,40.74482,-73.90522,"Woodside","NY","New York",TRUE,NA,83825,12758.9,36081,"Queens","{""36081"": ""100""}","Queens","36081",FALSE,FALSE,"America/New_York",592427.702588258,4511006.6751321
"11378","11378, Maspeth, NY","Zip Code",74070.998584768,"Queens",691356.592105263,40.72467,-73.90954,"Maspeth","NY","New York",TRUE,NA,38524,5772.2,36081,"Queens","{""36081"": ""100""}","Queens","36081",FALSE,FALSE,"America/New_York",592090.759846415,4508765.33603157
